Geographic Area,City,percent_completed_hs
AL,Cowarts town,86
AL,Creola city,84.4
AL,Crossville town,70.4
AL,Cuba town,92.1
AL,Cullman city,85.3
AL,Cullomburg CDP,93.4
AL,Cusseta town,83.7
AL,Dadeville city,73.7
AL,Daleville city,85.3
AL,Daphne city,95.8
AL,Dauphin Island town,95.8
AL,Daviston town,87.8
AL,Dayton town,100
AL,Deatsville town,96.3
AL,Decatur city,82.7
AL,Deer Park CDP,86.3
AL,Delta CDP,87
AL,Demopolis city,89.1
AL,Detroit town,64.8
AL,Dodge City town,81.7
AL,Dora city,82.3
AL,Dothan city,86.2
AL,Double Springs town,74.5
AL,Douglas town,78.5
AL,Dozier town,79.1
AL,Dunnavant CDP,76
AL,Dutton town,90.6
AL,East Brewton city,83.6
AL,East Point CDP,91.4
AL,Eclectic town,84.2
AL,Edgewater CDP,84.1
AL,Edwardsville town,87
AL,Egypt CDP,84.9
AL,Elba city,76.9
AL,Elberta town,85.8
AL,Eldridge town,75
AL,Elkmont town,78.2
AL,Elmore town,70.5
AL,Emelle town,79.3
AL,Emerald Mountain CDP,90.9
AL,Enterprise city,89.2
AL,Epes town,81.6
AL,Ethelsville town,80.6
AL,Eufaula city,81.5
AL,Eunola CDP,96.1
AL,Eutaw town,73.2
AL,Eva town,91.2
AL,Evergreen city,79.2
AL,Excel town,86
AL,Fairfield city,88.9
AL,Fairford CDP,57.6
AL,Fairhope city,95.4
AL,Fairview town,82
AL,Falkville town,65.1
AL,Faunsdale town,85.7
AL,Fayette city,79.1
AL,Fayetteville CDP,68.5
AL,Fitzpatrick CDP,60.7
AL,Five Points town,61.9
AL,Flomaton town,77.3
AL,Florala town,79.6
AL,Florence city,84.4
AL,Foley city,91.5
AL,Forestdale CDP,93.5
AL,Forkland town,74.1
AL,Fort Deposit town,70.5
AL,Fort Payne city,67.7
AL,Fort Rucker CDP,98.8
AL,Franklin town,85
AL,Fredonia CDP,88.6
AL,Frisco City town,77.3
AL,Fruitdale CDP,93.3
AL,Fruithurst town,75.8
AL,Fulton town,76
AL,Fultondale city,85.1
AL,Fyffe town,83.7
AL,Gadsden city,78.3
AL,Gainesville town,76.7
AL,Gallant CDP,83.7
AL,Gantt town,85.6
AL,Garden City town,79.8
AL,Gardendale city,92.2
AL,Gaylesville town,78.4
AL,Geiger town,71.3
AL,Geneva city,78.1
AL,Georgiana town,71.1
AL,Geraldine town,84.2
AL,Gilbertown town,83.8
AL,Glen Allen town,76.5
AL,Glencoe city,86.6
AL,Glenwood town,84.8
AL,Goldville town,86.7
AL,Good Hope town,86.5
AL,Goodwater town,71.6
AL,Gordo town,80.4
AL,Gordon town,66.8
AL,Gordonville town,76.1
AL,Goshen town,71.2
AL,Graham CDP,74
AL,Grand Bay CDP,84.6
AL,Grant town,89.2
AL,Grayson Valley CDP,90.4
AL,Graysville city,79.8
AL,Greensboro city,75
AL,Greenville city,78.4
AL,Grimes town,84.5
AL,Grove Hill town,85.8
AL,Guin city,75.4
AL,Gulfcrest CDP,87.2
AL,Gulf Shores city,92.9
AL,Guntersville city,83.1
AL,Gurley town,74.5
AL,Gu-Win town,87.2
AL,Hackleburg town,76.5
AL,Hackneyville CDP,95.1
AL,Haleburg town,80
AL,Haleyville city,70.7
AL,Hamilton city,82.7
AL,Hammondville town,74.5
AL,Hanceville city,77.7
AL,Harpersville town,80.7
AL,Hartford city,70.6
AL,Hartselle city,91.9
AL,Harvest CDP,90.6
AL,Hatton CDP,83.2
AL,Hayden town,83.4
AL,Hayneville town,72.1
AL,Hazel Green CDP,88.2
AL,Headland city,88.1
AL,Heath town,80.3
AL,Heflin city,74.3
AL,Helena city,97.7
AL,Henagar city,71.7
AL,Highland Lake town,94.3
AL,Highland Lakes CDP,97.6
AL,Hillsboro town,74.6
AL,Hissop CDP,73.8
AL,Hobson CDP,63.6
AL,Hobson City town,77.3
AL,Hodges town,69.3
AL,Hokes Bluff city,89.2
AL,Hollins CDP,68.2
AL,Hollis Crossroads CDP,71.4
AL,Holly Pond town,90.4
AL,Hollywood town,71.3
AL,Holt CDP,75
AL,Holtville CDP,85.6
AL,Homewood city,93.5
AL,Hoover city,95.2
AL,Horn Hill town,66.3
AL,Hueytown city,86.5
AL,Huguley CDP,79.3
AL,Huntsville city,90.2
AL,Hurtsboro town,75.3
AL,Hytop town,70.6
AL,Ider town,80.5
AL,Indian Springs Village city,97.2
AL,Irondale city,87.4
AL,Ivalee CDP,77
AL,Jackson city,85.8
AL,Jacksons' Gap town,67.1
AL,Jacksonville city,89
AL,Jasper city,85.3
AL,Jemison city,77.8
AL,Joppa CDP,67.3
AL,Kansas town,66.4
AL,Kellyton town,71.3
AL,Kennedy town,82.6
AL,Killen town,87.1
AL,Kimberly city,89.4
AL,Kinsey town,75.9
AL,Kinston town,69.5
AL,Ladonia CDP,84.4
AL,La Fayette city,69.7
AL,Lakeview town,92.3
AL,Lake View town,95.7
AL,Lanett city,77.2
AL,Langston town,85.1
AL,Leeds city,87.2
AL,Leesburg town,80.5
AL,Leighton town,71.9
AL,Leroy CDP,99.3
AL,Lester town,89
AL,Level Plains town,91.3
AL,Lexington town,87.1
AL,Libertyville town,77.3
AL,Lillian CDP,96.6
AL,Lincoln city,87.5
AL,Linden city,87.1
AL,Lineville city,77.8
AL,Lipscomb city,71
AL,Lisman town,67.2
AL,Littleville town,81.8
AL,Livingston city,86
AL,Loachapoka town,89.5
AL,Lockhart town,82.2
AL,Locust Fork town,81.9
AL,Lookout Mountain CDP,82.3
AL,Louisville town,65.7
AL,Lowndesboro town,90.2
AL,Loxley town,85.3
AL,Luverne city,77.9
AL,Lynn town,74.8
AL,McDonald Chapel CDP,60.3
AL,Macedonia CDP,81.4
AL,McIntosh town,95.8
AL,McKenzie town,75.5
AL,McMullen town,40
AL,Madison city,95.7
AL,Madrid town,70.6
AL,Magnolia Springs town,89.1
AL,Malcolm CDP,90.1
AL,Malvern town,74
AL,Maplesville town,77.3
AL,Marbury CDP,83.8
AL,Margaret town,92.5
AL,Marion city,81.4
AL,Maytown town,88.4
AL,Meadowbrook CDP,94
AL,Megargel CDP,53.1
AL,Memphis town,29.4
AL,Mentone town,87.5
AL,Meridianville CDP,86.6
AL,Midfield city,90.2
AL,Midland City town,79.3
AL,Midway town,58.3
AL,Mignon CDP,75.2
AL,Millbrook city,91.3
AL,Millerville CDP,70.7
AL,Millport town,79.6
AL,Millry town,86.1
AL,Minor CDP,88.9
AL,Mobile city,86.9
AL,Monroeville city,82.3
AL,Montevallo city,86.6
AL,Montgomery city,85.5
AL,Moody city,87.9
AL,Moores Mill CDP,91
AL,Mooresville town,83.1
AL,Morris town,84.9
AL,Morrison Crossroads CDP,93.8
AL,Mosses town,60.4
AL,Moulton city,79.2
AL,Moundville town,77.3
AL,Mountain Brook city,99.5
AL,Mount Olive CDP (Coosa County),87.3
AL,Mount Olive CDP (Jefferson County),92.5
AL,Mount Vernon town,80.8
AL,Movico CDP,81.9
AL,Mulga town,72
AL,Munford town,87.3
AL,Muscle Shoals city,88.7
AL,Myrtlewood town,72.5
AL,Nanafalia CDP,94
AL,Nances Creek CDP,79.1
AL,Napier Field town,80.2
AL,Natural Bridge town,65.7
AL,Nauvoo town,67.2
AL,Nectar town,78.3
AL,Needham town,83.7
AL,Newbern town,74.6
AL,New Brockton town,79.8
AL,New Hope city,84.3
AL,New Market CDP,86.9
AL,New Site town,82.1
AL,Newton town,82.3
AL,New Union CDP,84
AL,Newville town,73
AL,North Courtland town,71.3
AL,North Johns town,75.6
AL,Northport city,90.2
AL,Notasulga town,80.7
AL,Oak Grove town,73
AL,Oak Hill town,27.3
AL,Oakman town,72.2
AL,Odenville town,76.4
AL,Ohatchee town,82
AL,Oneonta city,73.9
AL,Onycha town,60.5
AL,Opelika city,83.7
AL,Opp city,77.4
AL,Orange Beach city,92.6
AL,Orrville town,71.4
AL,Our Town CDP,78.6
AL,Owens Cross Roads town,86.7
AL,Oxford city,83.5
AL,Ozark city,82.5
AL,Paint Rock town,77.5
AL,Panola CDP,38.1
AL,Parrish town,75.3
AL,Pelham city,92.2
AL,Pell City city,86.5
AL,Pennington town,69.9
AL,Penton CDP,51.2
AL,Perdido CDP,78.5
AL,Perdido Beach town,86.3
AL,Peterman CDP,97.2
AL,Petrey town,86.5
AL,Phenix City city,84.8
AL,Phil Campbell town,78.5
AL,Pickensville town,70
AL,Piedmont city,76.8
AL,Pike Road town,95.8
AL,Pinckard town,88.6
AL,Pine Apple town,81.5
AL,Pine Hill town,89.1
AL,Pine Level CDP,90.5
AL,Pine Ridge town,54.6
AL,Pinson city,93.2
AL,Pisgah town,78.7
AL,Pleasant Grove city,91.1
AL,Pleasant Groves town,85
AL,Point Clear CDP,89.1
AL,Pollard town,82.3
AL,Powell town,61.2
AL,Prattville city,89.9
AL,Priceville town,91
AL,Prichard city,78.5
AL,Providence town,90.5
AL,Putnam CDP,72.8
AL,Ragland town,73.9
AL,Rainbow City city,92.5
AL,Rainsville city,82.3
AL,Ranburne town,86.5
AL,Ray CDP,82.9
AL,Red Bay city,77.1
AL,Redland CDP,91.8
AL,Red Level town,79.2
AL,Redstone Arsenal CDP,94
AL,Reece City town,85.6
AL,Reeltown CDP,78.5
AL,Reform town,79.4
AL,Rehobeth town,84.9
AL,Repton town,58
AL,Ridgeville town,69.6
AL,River Falls town,64.6
AL,Riverside town,87
AL,Riverview town,75.5
AL,Roanoke city,77.2
AL,Robertsdale city,79.9
AL,Rock Creek CDP,85.2
AL,Rockford town,68.4
AL,Rock Mills CDP,70.4
AL,Rockville CDP,64.7
AL,Rogersville town,81.9
AL,Rosa town,81.3
AL,Russellville city,68.9
AL,Rutledge town,69.8
AL,St. Florian town,91.7
AL,St. Stephens CDP,88.2
AL,Saks CDP,78.6
AL,Samson city,65.7
AL,Sand Rock town,80.8
AL,Sanford town,73.1
AL,Saraland city,85.4
AL,Sardis City town,88.7
AL,Satsuma city,91.8
AL,Scottsboro city,81.8
AL,Section town,76.6
AL,Selma city,77.8
AL,Selmont-West Selmont CDP,78.1
AL,Semmes city,77.3
AL,Sheffield city,79.5
AL,Shelby CDP,78.9
AL,Shiloh town,75.6
AL,Shoal Creek CDP,99.6
AL,Shorter town,68.4
AL,Silas town,66
AL,Silverhill town,89.3
AL,Sims Chapel CDP,100
AL,Sipsey town,83.2
AL,Skyline town,75.4
AL,Slocomb city,75.5
AL,Smiths Station city,80.3
AL,Smoke Rise CDP,92.7
AL,Snead town,80.3
AL,Somerville town,78.4
AL,Southside city,90.3
AL,South Vinemont town,79.1
AL,Spanish Fort city,95.8
AL,Spring Garden CDP,100
AL,Springville city,91.1
AL,Spruce Pine CDP,76.6
AL,Standing Rock CDP,61.4
AL,Stapleton CDP,84.1
AL,Steele town,78.7
AL,Sterrett CDP,64.1
AL,Stevenson city,81.6
AL,Stewartville CDP,73.7
AL,Stockton CDP,91.3
AL,Sulligent city,74
AL,Sumiton city,85.1
AL,Summerdale town,85.3
AL,Susan Moore town,75
AL,Sweet Water town,92.5
AL,Sylacauga city,82.5
AL,Sylvania town,83.6
AL,Sylvan Springs town,86.9
AL,Talladega city,73.9
AL,Talladega Springs town,80.1
AL,Tallassee city,88.9
AL,Tarrant city,78.6
AL,Taylor town,83.6
AL,Theodore CDP,85.4
AL,Thomaston town,89.3
AL,Thomasville city,82.4
AL,Thorsby town,80.7
AL,Tibbie CDP,100
AL,Tidmore Bend CDP,80.6
AL,Tillmans Corner CDP,82.1
AL,Town Creek town,83.2
AL,Toxey town,85.6
AL,Trafford town,80.8
AL,Triana town,81.4
AL,Trinity town,93.7
AL,Troy city,83.7
AL,Trussville city,96.3
AL,Tuscaloosa city,87.3
AL,Tuscumbia city,86.2
AL,Tuskegee city,83.6
AL,Twin town,77.6
AL,Underwood-Petersville CDP,77.1
AL,Union town,76.2
AL,Union Grove town,91.7
AL,Union Springs city,57.1
AL,Uniontown town,66.1
AL,Uriah CDP,83.8
AL,Valley city,84.9
AL,Valley Grande city,85.9
AL,Valley Head town,75.7
AL,Vance town,88
AL,Vandiver CDP,75.9
AL,Vernon city,81
AL,Vestavia Hills city,97.3
AL,Vina town,57.3
AL,Vincent town,77.5
AL,Vinegar Bend CDP,64.5
AL,Vredenburgh town,73.5
AL,Wadley town,73.9
AL,Waldo town,75.8
AL,Walnut Grove town,68.4
AL,Warrior city,86.9
AL,Waterloo town,73.6
AL,Waverly town,74.1
AL,Weaver city,83.9
AL,Webb town,78
AL,Wedowee town,70.1
AL,Weogufka CDP,56.3
AL,West Blocton town,79.9
AL,West End-Cobb Town CDP,68.1
AL,West Jefferson town,88.3
AL,Westover town,85.2
AL,West Point town,86.9
AL,Wetumpka city,85
AL,Whatley CDP,-
AL,White Hall town,66.6
AL,White Plains CDP,95.7
AL,Whitesboro CDP,84.4
AL,Wilsonville town,88
AL,Wilton town,84.6
AL,Winfield city,86.8
AL,Woodland town,86.4
AL,Woodstock town,89.5
AL,Woodville town,77.7
AL,Yellow Bluff town,62
AL,York city,77.1
AK,Adak city,93.4
AK,Akhiok city,62.5
AK,Akiachak CDP,76.7
AK,Akiak city,81.3
AK,Akutan city,73
AK,Alakanuk city,65.4
AK,Alatna CDP,100
AK,Alcan Border CDP,100
AK,Aleknagik city,84
AK,Aleneva CDP,0
AK,Allakaket city,72.9
AK,Ambler city,78.7
AK,Anaktuvuk Pass city,80.9
AK,Anchorage municipality,93
AK,Anchor Point CDP,93.8
AK,Anderson city,98.6
AK,Angoon city,86.7
AK,Aniak city,83.8
AK,Anvik city,94.2
AK,Arctic Village CDP,75
AK,Atka city,89.5
AK,Atmautluak CDP,70.2
AK,Atqasuk city,75.9
AK,Attu Station CDP,100
AK,Badger CDP,96.2
AK,Barrow city,84.6
AK,Bear Creek CDP,92.5
AK,Beaver CDP,69.8
AK,Beluga CDP,66.7
AK,Bethel city,85.8
AK,Bettles city,100
AK,Big Delta CDP,97.6
AK,Big Lake CDP,90.4
AK,Birch Creek CDP,0
AK,Brevig Mission city,78
AK,Buckland city,86.2
AK,Buffalo Soapstone CDP,90.4
AK,Butte CDP,94.3
AK,Cantwell CDP,95
AK,Central CDP,82.2
AK,Chalkyitsik CDP,88.7
AK,Chase CDP,65.2
AK,Chefornak city,74.3
AK,Chena Ridge CDP,96.5
AK,Chenega CDP,100
AK,Chevak city,82.8
AK,Chickaloon CDP,91.7
AK,Chicken CDP,-
AK,Chignik city,100
AK,Chignik Lagoon CDP,84
AK,Chignik Lake CDP,68.2
AK,Chiniak CDP,100
AK,Chisana CDP,-
AK,Chistochina CDP,80
AK,Chitina CDP,82.6
AK,Chuathbaluk city,92
AK,Circle CDP,54.3
AK,Clam Gulch CDP,84.3
AK,Clark's Point city,74.2
AK,Coffman Cove city,91.9
AK,Cohoe CDP,95
AK,Cold Bay city,97.5
AK,Coldfoot CDP,70
AK,College CDP,94.9
AK,Cooper Landing CDP,95.3
AK,Copper Center CDP,84.8
AK,Cordova city,91.6
AK,Covenant Life CDP,100
AK,Craig city,89.3
AK,Crooked Creek CDP,80.8
AK,Crown Point CDP,100
AK,Deering city,88
AK,Delta Junction city,95.4
AK,Deltana CDP,93.8
AK,Diamond Ridge CDP,97
AK,Dillingham city,93.6
AK,Diomede city,63.6
AK,Dot Lake CDP,-
AK,Dot Lake Village CDP,64.9
AK,Dry Creek CDP,100
AK,Eagle city,90.7
AK,Eagle Village CDP,82.4
AK,Edna Bay city,-
AK,Eek city,68.7
AK,Egegik city,91.1
AK,Eielson AFB CDP,96.6
AK,Ekwok city,63.4
AK,Elfin Cove CDP,100
AK,Elim city,86.9
AK,Emmonak city,83.9
AK,Ester CDP,95
AK,Eureka Roadhouse CDP,-
AK,Evansville CDP,78.6
AK,Excursion Inlet CDP,86.7
AK,Fairbanks city,91.2
AK,False Pass city,100
AK,Farmers Loop CDP,98.9
AK,Farm Loop CDP,92.4
AK,Ferry CDP,100
AK,Fishhook CDP,94.5
AK,Flat CDP,-
AK,Fort Greely CDP,100
AK,Fort Yukon city,77.1
AK,Four Mile Road CDP,50
AK,Fox CDP,100
AK,Fox River CDP,37.9
AK,Fritz Creek CDP,92.7
AK,Funny River CDP,94.3
AK,Gakona CDP,92.9
AK,Galena city,86.4
AK,Gambell city,72.4
AK,Game Creek CDP,100
AK,Gateway CDP,96.1
AK,Glacier View CDP,90.2
AK,Glennallen CDP,94.4
AK,Goldstream CDP,97.3
AK,Golovin city,90.4
AK,Goodnews Bay city,58.6
AK,Grayling city,70.4
AK,Gulkana CDP,91.2
AK,Gustavus city,95.6
AK,Haines CDP,95.4
AK,Halibut Cove CDP,100
AK,Happy Valley CDP,91.4
AK,Harding-Birch Lakes CDP,94.5
AK,Healy CDP,93.6
AK,Healy Lake CDP,-
AK,Hobart Bay CDP,-
AK,Hollis CDP,89.5
AK,Holy Cross city,86.1
AK,Homer city,95.9
AK,Hoonah city,87.7
AK,Hooper Bay city,75
AK,Hope CDP,100
AK,Houston city,90.2
AK,Hughes city,92.6
AK,Huslia city,93.1
AK,Hydaburg city,90.1
AK,Hyder CDP,53.8
AK,Igiugig CDP,90.3
AK,Iliamna CDP,88.7
AK,Ivanof Bay CDP,-
AK,Juneau city and borough,94.8
AK,Kachemak city,92.6
AK,Kake city,85.7
AK,Kaktovik city,76.5
AK,Kalifornsky CDP,96.3
AK,Kaltag city,86.4
AK,Karluk CDP,85
AK,Kasaan city,90.2
AK,Kasigluk CDP,68.1
AK,Kasilof CDP,100
AK,Kenai city,89.7
AK,Kenny Lake CDP,100
AK,Ketchikan city,89.9
AK,Kiana city,76.1
AK,King Cove city,87.3
AK,King Salmon CDP,93.2
AK,Kipnuk CDP,76.4
AK,Kivalina city,64.6
AK,Klawock city,86.2
AK,Klukwan CDP,86.5
AK,Knik-Fairview CDP,91.2
AK,Knik River CDP,93
AK,Kobuk city,72.1
AK,Kodiak city,87.1
AK,Kodiak Station CDP,97.2
AK,Kokhanok CDP,84.5
AK,Koliganek CDP,77.3
AK,Kongiganak CDP,79.4
AK,Kotlik city,74.2
AK,Kotzebue city,82.9
AK,Koyuk city,82.4
AK,Koyukuk city,82.4
AK,Kupreanof city,100
AK,Kwethluk city,75.9
AK,Kwigillingok CDP,78.8
AK,Lake Louise CDP,73.3
AK,Lake Minchumina CDP,88.2
AK,Lakes CDP,95.1
AK,Larsen Bay city,78.7
AK,Lazy Mountain CDP,97.1
AK,Levelock CDP,88.6
AK,Lime Village CDP,28.6
AK,Livengood CDP,100
AK,Loring CDP,-
AK,Lowell Point CDP,100
AK,Lower Kalskag city,78.5
AK,Lutak CDP,100
AK,McCarthy CDP,74.4
AK,McGrath city,93.7
AK,McKinley Park CDP,97.1
AK,Manley Hot Springs CDP,86.7
AK,Manokotak city,87.5
AK,Marshall city,86
AK,Meadow Lakes CDP,90.4
AK,Mekoryuk city,80.2
AK,Mendeltna CDP,100
AK,Mentasta Lake CDP,70.1
AK,Mertarvik CDP,-
AK,Metlakatla CDP,91
AK,Minto CDP,77.6
AK,Moose Creek CDP,85.6
AK,Moose Pass CDP,94.1
AK,Mosquito Lake CDP,89.6
AK,Mountain Village city,77.8
AK,Mud Bay CDP,95.4
AK,Nabesna CDP,-
AK,Naknek CDP,93.6
AK,Nanwalek CDP,98
AK,Napakiak city,72.6
AK,Napaskiak city,76
AK,Naukati Bay CDP,70.4
AK,Nelchina CDP,82.7
AK,Nelson Lagoon CDP,57.5
AK,Nenana city,78.9
AK,New Allakaket CDP,72.2
AK,Newhalen city,92.8
AK,New Stuyahok city,75.9
AK,Newtok CDP,72.6
AK,Nightmute city,66.4
AK,Nikiski CDP,91.9
AK,Nikolaevsk CDP,84.8
AK,Nikolai city,76.3
AK,Nikolski CDP,92.3
AK,Ninilchik CDP,94.5
AK,Noatak CDP,84.9
AK,Nome city,92.6
AK,Nondalton city,84.7
AK,Noorvik city,75.3
AK,North Pole city,92.1
AK,Northway CDP,86.3
AK,Northway Junction CDP,93.3
AK,Northway Village CDP,62.9
AK,Nuiqsut city,65.2
AK,Nulato city,82.8
AK,Nunam Iqua city,62.3
AK,Nunapitchuk city,73.6
AK,Old Harbor city,73.4
AK,Oscarville CDP,60
AK,Ouzinkie city,76.7
AK,Palmer city,91.3
AK,Paxson CDP,100
AK,Pedro Bay CDP,90.9
AK,Pelican city,78.7
AK,Perryville CDP,71.7
AK,Petersburg CDP,93.6
AK,Petersville CDP,-
AK,Pilot Point city,68.8
AK,Pilot Station city,72.6
AK,Pitkas Point CDP,77.6
AK,Platinum city,66.7
AK,Pleasant Valley CDP,100
AK,Point Baker CDP,100
AK,Point Hope city,83.6
AK,Point Lay CDP,75.7
AK,Point MacKenzie CDP,89
AK,Point Possession CDP,-
AK,Pope-Vannoy Landing CDP,-
AK,Portage Creek CDP,-
AK,Port Alexander city,100
AK,Port Alsworth CDP,94.7
AK,Port Clarence CDP,100
AK,Port Graham CDP,93.2
AK,Port Heiden city,90
AK,Port Lions city,85
AK,Port Protection CDP,100
AK,Primrose CDP,100
AK,Prudhoe Bay CDP,96.4
AK,Quinhagak city,66.7
AK,Rampart CDP,0
AK,Red Devil CDP,66.7
AK,Red Dog Mine CDP,90.9
AK,Ridgeway CDP,96.4
AK,Ruby city,83.2
AK,Russian Mission city,76.2
AK,St. George city,91.1
AK,St. Mary's city,84
AK,St. Michael city,79.2
AK,St. Paul city,82.1
AK,Salamatof CDP,87.5
AK,Salcha CDP,97.5
AK,Sand Point city,84.6
AK,Savoonga city,61.4
AK,Saxman city,87.1
AK,Scammon Bay city,74.9
AK,Selawik city,66.2
AK,Seldovia city,95.5
AK,Seldovia Village CDP,92.6
AK,Seward city,93.9
AK,Shageluk city,87.1
AK,Shaktoolik city,80.6
AK,Shishmaref city,79.9
AK,Shungnak city,69.3
AK,Silver Springs CDP,90.7
AK,Sitka city and borough,92.8
AK,Skagway CDP,97.2
AK,Skwentna CDP,100
AK,Slana CDP,73.1
AK,Sleetmute CDP,75.6
AK,Soldotna city,93.6
AK,South Naknek CDP,76.4
AK,South Van Horn CDP,82.1
AK,Stebbins city,74.3
AK,Steele Creek CDP,95.3
AK,Sterling CDP,94.5
AK,Stevens Village CDP,80
AK,Stony River CDP,50
AK,Sunrise CDP,100
AK,Susitna CDP,-
AK,Susitna North CDP,88.7
AK,Sutton-Alpine CDP,84.5
AK,Takotna CDP,82.8
AK,Talkeetna CDP,88.3
AK,Tanacross CDP,79.3
AK,Tanaina CDP,92.3
AK,Tanana city,86.1
AK,Tatitlek CDP,86.3
AK,Tazlina CDP,90.1
AK,Teller city,65.2
AK,Tenakee Springs city,95.9
AK,Tetlin CDP,82.8
AK,Thorne Bay city,95.9
AK,Togiak city,75.3
AK,Tok CDP,91
AK,Toksook Bay city,75.6
AK,Tolsona CDP,-
AK,Tonsina CDP,100
AK,Trapper Creek CDP,94.3
AK,Tuluksak CDP,74.4
AK,Tuntutuliak CDP,64.1
AK,Tununak CDP,81.7
AK,Twin Hills CDP,74.5
AK,Two Rivers CDP,100
AK,Tyonek CDP,93.3
AK,Ugashik CDP,100
AK,Unalakleet city,93.2
AK,Unalaska city,82.8
AK,Upper Kalskag city,76.6
AK,Valdez city,96.1
AK,Venetie CDP,62.4
AK,Wainwright city,80.8
AK,Wales city,78
AK,Wasilla city,91.8
AK,Whale Pass CDP,100
AK,White Mountain city,85.4
AK,Whitestone CDP,69.9
AK,Whitestone Logging Camp CDP,-
AK,Whittier city,91.1
AK,Willow CDP,89.5
AK,Willow Creek CDP,100
AK,Wiseman CDP,100
AK,Womens Bay CDP,94.1
AK,Wrangell city and borough,90.2
AK,Yakutat CDP,93.9
AZ,Aguila CDP,26.1
AZ,Ajo CDP,80
AZ,Ak Chin CDP,100
AZ,Ak-Chin Village CDP,59.8
AZ,Alamo Lake CDP,100
AZ,Ali Chuk CDP,82.4
AZ,Ali Chukson CDP,56.8
AZ,Ali Molina CDP,73
AZ,Alpine CDP,86.3
AZ,Amado CDP,69.9
AZ,Anegam CDP,81.6
AZ,Antares CDP,60.9
AZ,Anthem CDP,96.7
AZ,Apache Junction city,85.5
AZ,Arivaca CDP,90.4
AZ,Arivaca Junction CDP,78
AZ,Arizona City CDP,90.3
AZ,Arizona Village CDP,72.4
AZ,Arlington CDP,65.6
AZ,Ash Fork CDP,68.5
AZ,Avenue B and C CDP,49.9
AZ,Avondale city,79
AZ,Avra Valley CDP,87.2
AZ,Aztec CDP,100
AZ,Bagdad CDP,86.7
AZ,Bear Flat CDP,100
AZ,Beaver Dam CDP,73
AZ,Beaver Valley CDP,90.9
AZ,Benson city,88
AZ,Beyerville CDP,56.4
AZ,Bisbee city,87.3
AZ,Bitter Springs CDP,59.7
AZ,Black Canyon City CDP,90.4
AZ,Blackwater CDP,67.7
