Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Dutton town,90.8,2.5,0,0,3.2
AL,East Brewton city,74.7,20.8,0.6,0,3.1
AL,East Point CDP,96.5,0,0,1,3.5
AL,Eclectic town,86.4,11,0.4,0,1.3
AL,Edgewater CDP,31,68.4,0.1,0,1
AL,Edwardsville town,98,0.5,0,0,0
AL,Egypt CDP,94.3,0.9,0.5,0.5,3.3
AL,Elba city,62.1,34.3,1.2,0.3,1.1
AL,Elberta town,92.9,1.4,0.3,0.8,5.3
AL,Eldridge town,97.7,0.8,0,0,0
AL,Elkmont town,85.9,12.7,1.2,0,0
AL,Elmore town,64.3,26.7,0.1,0.2,8.8
AL,Emelle town,5.7,94.3,0,0,0
AL,Emerald Mountain CDP,87.1,11,0.2,0.6,1.6
AL,Enterprise city,69.4,20.7,0.5,2,8.8
AL,Epes town,8.9,91.1,0,0,0
AL,Ethelsville town,74.1,25.9,0,0,0
AL,Eufaula city,51,44.6,0.5,0.6,4.3
AL,Eunola CDP,91.4,7.4,0,0.4,1.6
AL,Eutaw town,18.1,80.2,0.1,0.4,1.3
AL,Eva town,96.3,0,0.4,0.2,0.4
AL,Evergreen city,34.8,62.4,0.2,0.2,2.3
AL,Excel town,91.1,5,1.4,0,0.7
AL,Fairfield city,4.2,94.6,0,0,1.1
AL,Fairford CDP,61.3,17.7,19.9,0,0
AL,Fairhope city,91.1,6.2,0.2,0.7,2.8
AL,Fairview town,95.5,0.2,0,0.4,11.2
AL,Falkville town,92.1,3.4,1.1,0.1,2.2
AL,Faunsdale town,67.3,32.7,0,0,0
AL,Fayette city,73.4,24.3,0.3,0.3,1.4
AL,Fayetteville CDP,97.2,1.3,0.3,0,0.3
AL,Fitzpatrick CDP,78.3,21.7,0,0,2.4
AL,Five Points town,46.8,52.5,0,0,0
AL,Flomaton town,69.5,27.2,1.6,0.1,2.3
AL,Florala town,80.1,15.8,0.8,0.4,2.8
AL,Florence city,75,19.4,0.4,1.4,3.6
AL,Foley city,77.1,14.9,0.6,1.1,9.5
AL,Forestdale CDP,26.2,71.4,0.2,0.2,1.4
AL,Forkland town,11.9,87.4,0.2,0,0.8
AL,Fort Deposit town,23.7,75.5,0.1,0.1,0.4
AL,Fort Payne city,77.6,4.2,0.9,0.8,20.9
AL,Fort Rucker CDP,77.7,11.9,0.8,1.3,13.2
AL,Franklin town,47.7,49.7,0,1.3,0
AL,Fredonia CDP,87.9,11.6,0,0,0
AL,Frisco City town,45.4,49.3,1.3,0,1.8
AL,Fruitdale CDP,70.3,28.6,0,0,1.6
AL,Fruithurst town,98.2,0,1.1,0.4,0
AL,Fulton town,84.9,11,0,0.7,3.3
AL,Fultondale city,75.1,16.6,0.4,1,10.8
AL,Fyffe town,94,0.3,1.5,0.7,1.3
AL,Gadsden city,57.3,36.3,0.4,0.6,5.4
AL,Gainesville town,16.3,82.2,0,0,0
AL,Gallant CDP,96.7,0.2,0.6,0,1.6
AL,Gantt town,77,23,0,0,0
AL,Garden City town,98.2,0.2,0.4,0,0.4
AL,Gardendale city,88.4,8.6,0.3,1.2,1.5
AL,Gaylesville town,96.5,0,0,0,3.5
AL,Geiger town,26.5,73.5,0,0,2.9
AL,Geneva city,83.2,14,0.4,0.4,1.8
AL,Georgiana town,33.1,65.4,0.3,0.1,0.3
AL,Geraldine town,93.5,0.3,3.7,0,2
AL,Gilbertown town,77.2,21.9,0,0.5,0
AL,Glen Allen town,89.4,9.4,0.2,0.2,0.2
AL,Glencoe city,96.5,1.3,0.3,0.5,0.8
AL,Glenwood town,70.1,29.9,0,0,0
AL,Goldville town,100,0,0,0,5.5
AL,Good Hope town,92.7,0.3,0.4,0.5,7.7
AL,Goodwater town,24.3,73.7,0.7,0,0.7
AL,Gordo town,58.9,37.8,0.2,0.2,1.5
AL,Gordon town,21.4,76.5,0.3,0,1.5
AL,Gordonville town,5.2,94.8,0,0,0
AL,Goshen town,76.7,22.6,0.4,0,0
AL,Graham CDP,83.9,16.1,0,0,0
AL,Grand Bay CDP,86.9,9.4,0.6,0.7,2.3
AL,Grant town,98.1,0,0,0.4,1.3
AL,Grayson Valley CDP,70.6,25.8,0.3,0.9,2.2
AL,Graysville city,73.9,23.6,0.4,0.2,1.7
AL,Greensboro city,32,66.5,0.2,0.8,0.5
AL,Greenville city,41.7,55.5,0,1.8,1.3
AL,Grimes town,55.9,36.7,0,0,2.9
AL,Grove Hill town,56.6,41.3,0.3,0.3,2
AL,Guin city,86.9,10.9,0,0.1,1.3
AL,Gulfcrest CDP,88.2,3.1,5.6,0,1.2
AL,Gulf Shores city,93.4,1.5,0.5,0.9,4
AL,Guntersville city,85.8,7.8,0.5,1.5,3.8
AL,Gurley town,76.3,17.1,1.7,1.2,3.5
AL,Gu-Win town,85.8,5.1,4,0,4
AL,Hackleburg town,97.7,0.1,0.2,0,1.3
AL,Hackneyville CDP,97.7,0.9,0.3,1.2,0.3
AL,Haleburg town,94.2,4.9,0,0,0
AL,Haleyville city,92.1,0.7,1,0.5,6
AL,Hamilton city,89.3,7.7,0.4,0.2,3.1
AL,Hammondville town,90,0.8,0.2,0.6,6.8
AL,Hanceville city,92.4,3.6,0.2,0.7,2.4
AL,Harpersville town,73.1,23.5,0.3,0.7,2.6
AL,Hartford city,77.9,17.9,0.6,0.1,3.1
AL,Hartselle city,91.5,4.3,0.8,0.4,2.5
AL,Harvest CDP,62.2,31.7,0.5,1.2,3.1
AL,Hatton CDP,89.7,0,7.3,0,0
AL,Hayden town,87.6,8.8,0.7,0.2,0
AL,Hayneville town,15,84.5,0,0,0.1
AL,Hazel Green CDP,88.9,5.9,1.5,0.4,2.3
AL,Headland city,70.1,27.5,0.4,0.3,1.4
AL,Heath town,88.6,10.6,0,0,1.2
AL,Heflin city,87.3,9.4,0.5,0.1,2.4
AL,Helena city,82.5,13.1,0.2,1.5,3.3
AL,Henagar city,96.2,0,1.8,0,1.4
AL,Highland Lake town,98.8,0,1,0.2,0.7
AL,Highland Lakes CDP,87.6,7.6,0.2,2.3,1.6
AL,Hillsboro town,14.1,80.1,1.8,0.2,1.6
AL,Hissop CDP,25.1,74.3,0,0.2,2
AL,Hobson CDP,99.2,0,0,0,0
AL,Hobson City town,12.6,85.9,0,0.4,1.3
AL,Hodges town,98.6,0,1.4,0,1
AL,Hokes Bluff city,98.5,0.3,0.1,0.4,0.2
AL,Hollins CDP,89.4,7.7,0.6,0,0.7
AL,Hollis Crossroads CDP,86,5.4,0.3,0,8.4
AL,Holly Pond town,98.5,0.3,0.4,0,1.4
AL,Hollywood town,75.8,14.8,1.7,0.3,4.9
AL,Holt CDP,39.4,55.2,0.4,0.2,7.2
AL,Holtville CDP,90.4,7.4,0.5,0.2,1.3
AL,Homewood city,74.6,17.3,0.2,2.2,7.3
AL,Hoover city,75.1,14.8,0.2,5.1,6
AL,Horn Hill town,91.7,1.3,3.9,0,3.1
AL,Hueytown city,70,27.2,0.3,0.5,2
AL,Huguley CDP,73,25,0.6,0.2,1.2
AL,Huntsville city,60.3,31.2,0.6,2.4,5.8
AL,Hurtsboro town,29.1,69.6,0.5,0,2.2
AL,Hytop town,91.5,0.3,4.5,0,3.4
AL,Ider town,93.2,0.6,4,0,0.1
AL,Indian Springs Village city,95.7,1.5,0.2,1.9,0.9
AL,Irondale city,56.3,35.4,0.3,1.4,7.8
AL,Ivalee CDP,96.1,1.6,0.5,0,1.4
AL,Jackson city,54.9,42.9,0.7,0.4,1.4
AL,Jacksons' Gap town,68.2,28.9,0.5,0.5,1.9
AL,Jacksonville city,68.7,26.8,0.5,1.3,2.3
AL,Jasper city,81.3,13.4,0.3,0.7,4.4
AL,Jemison city,77.8,17.7,0.1,0.1,7
AL,Joppa CDP,81.4,0.2,0.8,0,17.2
AL,Kansas town,100,0,0,0,0
AL,Kellyton town,68.2,19.8,0,0,11.5
AL,Kennedy town,83.4,14.3,0,0.2,0.9
AL,Killen town,94,3.2,0.3,0.5,2.4
AL,Kimberly town,96.2,1.8,0.4,0.6,0.8
AL,Kinsey town,49.9,46,0.3,0.1,4
AL,Kinston town,95.6,0.2,2,0.6,0.9
AL,Ladonia CDP,86.5,9.8,0.7,0.3,2.7
AL,La Fayette city,29.3,68.8,0.1,0.4,1.9
AL,Lakeview town,86.7,0,3.5,0,0
AL,Lake View town,93.9,4.2,0.1,0.7,0.6
AL,Lanett city,39.3,57.5,0.2,0.1,2.4
AL,Langston town,94.4,1.1,0,0,0
AL,Leeds city,78.7,14.3,0.4,0.6,6.6
AL,Leesburg town,96.5,1.1,0,0,1.3
AL,Leighton town,43.3,53.2,0.3,0.1,0.5
AL,Leroy CDP,78.6,20.1,0.2,0,0.2
AL,Lester town,99.1,0,0,0,0.9
AL,Level Plains town,75.3,12.4,0.5,1.5,11
AL,Lexington town,98.4,0,0.5,0.1,0.8
AL,Libertyville town,88.9,0.9,1.7,0,4.3
AL,Lincoln city,73.3,23.4,0.5,0.4,1.9
AL,Linden city,51.1,46.7,0.1,0.2,2
AL,Lineville city,58.6,36.9,0.3,0.2,4.6
AL,Lipscomb city,22,61,1.1,0,19.7
AL,Lisman town,6.7,92.2,0,0,0.2
AL,Littleville town,96.5,0.7,0.7,0.6,1.8
AL,Livingston city,34.6,63.9,0.1,0.3,0.7
AL,Loachapoka town,58.9,37.2,0,2.8,1.1
AL,Lockhart town,72.7,25.2,0.2,0,1.4
AL,Locust Fork town,97,0.6,0.8,0,2.4
AL,Lookout Mountain CDP,95.9,2.3,0.4,0,1.2
AL,Louisville town,49.3,44.1,0.8,0,7.9
AL,Lowndesboro town,76.5,20.9,0,0,0.9
AL,Loxley town,84.4,9.4,0.7,0.6,5.1
AL,Luverne city,62.6,29.6,0.3,5.5,1.9
AL,Lynn town,98,0,0.3,0,0.9
AL,McDonald Chapel CDP,55.8,39.3,0,0.6,2.8
AL,Macedonia CDP,8.9,91.1,0,0,0
AL,McIntosh town,37,55.5,4.2,0.4,2.9
AL,McKenzie town,67.7,29.8,0.4,0,0.4
AL,McMullen town,10,60,0,0,30
AL,Madison city,74,14.6,0.5,7,4.3
AL,Madrid town,88.9,8.6,0.6,0.9,3.1
AL,Magnolia Springs town,96.3,0.1,0.6,0.4,2.8
AL,Malcolm CDP,40.1,57.2,0.5,0.5,0
AL,Malvern town,91.2,4.8,0.7,0.1,4.8
AL,Maplesville town,68.9,28.5,0.1,0,1.1
AL,Marbury CDP,92.2,3.8,0.1,0,3.8
AL,Margaret town,77.3,19.3,0.3,0.8,1.6
AL,Marion city,34.3,64.1,0.2,0.6,1.9
AL,Maytown town,89.4,9.6,0.3,0,0
AL,Meadowbrook CDP,92.8,3.9,0.1,2.1,1.6
AL,Megargel CDP,91.9,3.2,3.2,0,0
AL,Memphis town,0,100,0,0,0
AL,Mentone town,92.2,1.9,1.4,0,0.6
AL,Meridianville CDP,76.3,18.5,0.7,1.7,2.7
AL,Midfield city,16.4,81.6,0.1,0.2,1.4
AL,Midland City town,70.4,23.3,0.5,0.4,4.1
AL,Midway town,10.6,89,0,0,0.6
AL,Mignon CDP,64.9,27.1,0.1,0.5,6.9
AL,Millbrook city,74.2,21.6,0.4,0.8,2.8
AL,Millerville CDP,91.7,7.6,0,0.7,0
AL,Millport town,64.7,33.7,0.1,0,1
AL,Millry town,60.4,37.9,0.5,0.2,0.4
AL,Minor CDP,77.6,20.9,0.3,0,1.5
AL,Mobile city,45,50.6,0.3,1.8,2.4
AL,Monroeville city,42.1,55.7,0.3,0.3,0.8
AL,Montevallo city,70.2,24.6,0.3,0.6,5.7
AL,Montgomery city,37.3,56.6,0.2,2.2,3.9
AL,Moody city,88.2,7.8,0.3,1.4,2.1
AL,Moores Mill CDP,70.9,22.6,1.1,1.5,2.4
AL,Mooresville town,94.3,5.7,0,0,0
AL,Morris town,97.7,1,0.1,0.3,1.1
AL,Morrison Crossroads CDP,92.7,2.3,0,0.5,5.5
AL,Mosses town,1.5,97.9,0,0,1.8
AL,Moulton city,78.2,13.1,4.1,0.4,1.6
AL,Moundville town,56.2,40.4,0.7,0.7,1.8
AL,Mountain Brook city,97.2,1,0.1,0.9,1
AL,Mount Olive CDP (Coosa County),74.9,23.2,0.5,0,0.5
AL,Mount Olive CDP (Jefferson County),97.7,1,0.2,0.3,0.5
AL,Mount Vernon town,23.4,73.6,1.7,0.1,0.7
AL,Movico CDP,2.6,96.7,0.3,0,0
AL,Mulga town,81,16.9,0.1,0,0.6
AL,Munford town,82.4,15.6,0.5,0,1
AL,Muscle Shoals city,80.6,15.3,0.3,0.9,2.7
AL,Myrtlewood town,85.4,13.8,0,0,3.1
AL,Nanafalia CDP,57.4,40.4,0,0,0
AL,Nances Creek CDP,98.8,0,0.5,0,0.7
AL,Napier Field town,79.7,16.1,1.7,1.7,2
AL,Natural Bridge town,100,0,0,0,0
AL,Nauvoo town,99.1,0,0,0.5,2.7
AL,Nectar town,95.7,2,0.6,0.6,4.6
AL,Needham town,98.9,0,1.1,0,0
AL,Newbern town,31.7,67.2,0,0,2.2
AL,New Brockton town,70.1,21,5.5,0.5,2.5
AL,New Hope city,93.7,0.2,2.5,0.3,1.4
AL,New Market CDP,88.5,6.7,1.4,0.2,4.4
AL,New Site town,85.8,12.5,0.4,0,0.8
AL,Newton town,83.6,13,0.7,0.5,1.5
AL,New Union CDP,95,0.2,0.3,0,4.2
AL,Newville town,53.4,40.1,0,0,8.3
AL,North Courtland town,2.4,96.7,0,0,0
AL,North Johns town,49.7,46.2,4.1,0,0
AL,Northport city,68.4,26.9,0.3,1.1,4.1
AL,Notasulga town,65,33.3,0.1,0.1,0.8
AL,Oak Grove town,91.3,7,0,0.8,1.1
AL,Oak Hill town,30.8,69.2,0,0,0
AL,Oakman town,80.9,18.4,0.1,0,0.1
AL,Odenville town,94.2,2.3,0.3,0.7,2.1
AL,Ohatchee town,94.1,3.2,0.6,0,0.6
AL,Oneonta city,84.1,6,0.5,0.5,15.9
AL,Onycha town,95.7,0,0,0,0
AL,Opelika city,50.6,43.5,0.3,1.7,4.4
AL,Opp city,80.9,16.7,0.6,0.3,0.9
AL,Orange Beach city,94.3,0.6,0.7,0.8,2.6
AL,Orrville town,37.7,62.3,0,0,0
AL,Our Town CDP,85.5,12.8,1.4,0,0.5
AL,Owens Cross Roads town,91.5,3.6,1,0.3,2.2
AL,Oxford city,80.5,12.6,0.4,1.1,6.6
AL,Ozark city,64.8,30.2,0.7,0.9,3.2
AL,Paint Rock town,92.4,1,1.9,0,0
AL,Panola CDP,2.1,97.9,0,0,0
AL,Parrish town,70.6,26,0.5,0.5,0.5
AL,Pelham city,81.2,7.5,0.3,2.4,14.9
AL,Pell City city,80.8,15.6,0.3,0.8,2.3
AL,Pennington town,50.2,49.8,0,0,0
AL,Penton CDP,69.7,24.9,0,0,4.5
AL,Perdido Beach town,96.2,0.2,0.2,0.2,2.1
AL,Peterman CDP,86.5,9,1.1,0,0
AL,Petrey town,91.4,8.6,0,0,0
AL,Phenix City city,48.7,46.6,0.3,0.7,4
AL,Phil Campbell town,95.2,0.2,0.4,0,4
AL,Pickensville town,36.2,63.5,0.3,0,0
AL,Piedmont city,87,10,0.5,0.1,1.3
AL,Pike Road town,68.5,28.7,0.1,1.4,1.3
AL,Pinckard town,83.8,12.7,0.6,0.5,1.7
AL,Pine Apple town,73.5,24.2,0.8,0.8,0
AL,Pine Hill town,45.8,53.2,0.4,0.1,0.7
AL,Pine Level CDP,92,4.6,0.2,0.5,1.7
AL,Pine Ridge town,87.2,1.8,0,0,20.9
AL,Pinson city,79,17,0.2,0.4,3.7
AL,Pisgah town,96.4,0.1,1.5,0.3,0.4
AL,Pleasant Grove city,53.7,44.8,0.3,0.2,0.6
AL,Pleasant Groves town,95.2,0,2.6,0,0.5
AL,Point Clear CDP,58.8,39.6,0,0.6,0.9
AL,Pollard town,59.1,27.7,0.7,0,21.2
AL,Powell town,92.3,2.3,1.2,0,4.3
AL,Prattville city,78.5,16.7,0.4,1.4,3.1
AL,Priceville town,93.7,1.9,0.7,1,2.2
AL,Prichard city,12.5,85.8,0.4,0.1,0.8
AL,Providence town,81.2,13,0,0,3.1
AL,Putnam CDP,23.3,72.5,2.6,0,0
AL,Ragland town,82.8,15.4,0.1,0.1,0.3
AL,Rainbow City city,87.4,7.2,0.4,2.6,2.4
AL,Rainsville city,95.1,0.2,0.9,0.2,3.8
AL,Ranburne town,99,0,0.2,0,0.2
AL,Ray CDP,65.9,16.3,0.2,1.1,17.4
AL,Red Bay city,92.5,1.2,0.3,0.1,5.1
AL,Redland CDP,82.6,12.9,0.3,1.7,2.3
AL,Red Level town,90.8,9,0,0,0.8
AL,Redstone Arsenal CDP,69.1,20.8,1.2,1.7,10.7
AL,Reece City town,93.4,2,1.1,0.9,0.8
AL,Reeltown CDP,82.4,15.1,0.1,0.1,2.7
AL,Reform town,50.6,48.2,0.1,0,0.9
AL,Rehobeth town,95.9,1.5,0.8,0.2,2.5
AL,Repton town,53.9,43.6,0,0,0.4
AL,Ridgeville town,32.1,58.9,0,1.8,6.3
AL,River Falls town,60.8,35,0.8,0,1.5
AL,Riverside town,87.5,10.6,0.2,0.7,1.1
AL,Riverview town,99.5,0,0,0,1.6
AL,Roanoke city,57.6,40.5,0.2,0.6,1.2
AL,Robertsdale city,85.3,5.4,0.8,0.5,9.2
AL,Rock Creek CDP,97.5,0.8,0.7,0.1,0
AL,Rockford town,62.5,37.5,0,0,1.3
AL,Rock Mills CDP,97.3,1.5,0,0,1.8
AL,Rockville CDP,97.7,2.3,0,0,2.3
AL,Rogersville town,91.2,6.1,1,0.6,1.7
AL,Rosa town,95.6,0.3,0,0,4.4
AL,Russellville city,68.5,9.2,0.8,0.3,26
AL,Rutledge town,73.7,22.9,0,1.1,2.1
AL,St. Florian town,97.1,2.4,0,0,0.2
AL,St. Stephens CDP,63,36,0,0.4,0.6
AL,Saks CDP,75.7,19.4,0.4,0.8,3.4
AL,Samson city,73.3,17.9,1.1,0.4,8.3
AL,Sand Rock town,97.5,0,0.7,0,2.9
AL,Sanford town,97.1,0.4,0.4,0,1.2
AL,Saraland city,83.7,12,0.8,0.6,2.5
AL,Sardis City town,98.2,0.4,0.1,0.4,0.7
AL,Satsuma city,88.7,7.9,1.2,0.6,1.1
AL,Scottsboro city,89.8,4.6,0.8,0.8,3.5
AL,Section town,95.5,0,1.6,0.6,0.9
AL,Selma city,18,80.3,0.2,0.6,0.6
AL,Selmont-West Selmont CDP,4.5,93.9,0.1,0,1.5
AL,Sheffield city,69.7,26.8,0.3,0.3,2.3
AL,Shelby CDP,90.4,6.9,0.2,0.2,2.3
AL,Shiloh town,95.3,1.5,2.9,0,0.7
AL,Shoal Creek CDP,92.4,4.8,0.1,2.2,1.4
AL,Shorter town,18.8,79.5,0,0.6,1.1
AL,Silas town,71,29,0,0,0
AL,Silverhill town,94.3,1.7,0.1,0.3,5.7
AL,Sims Chapel CDP,71.2,0,24.8,0.7,2
AL,Sipsey town,64.1,33.2,0,0.5,0.9
AL,Skyline town,95.3,0,2.1,0,2.1
AL,Slocomb city,72.2,22.6,0.8,0.1,4.7
AL,Smiths Station city,80.3,15.9,0.7,0.5,2.8
AL,Smoke Rise CDP,98,0.5,0.5,0.1,0.7
AL,Snead town,96.8,0.1,0.5,0.1,1.8
AL,Somerville town,94.1,3.3,1.1,0,0.1
AL,Southside city,96.5,1.5,0.2,0.7,1.3
AL,South Vinemont town,83.2,0.1,1.2,2,23.6
AL,Spanish Fort city,91,4.8,0.6,1.4,2.4
AL,Spring Garden CDP,96.2,2.1,0,0,0
AL,Springville city,93.6,4.7,0.3,0.4,0.7
AL,Spruce Pine CDP,97.3,0,0,0,5.9
AL,Standing Rock CDP,98.2,0.6,0,0,1.2
AL,Steele town,94.6,0.4,0.4,0,5.1
AL,Sterrett CDP,94.7,3.9,0,0,0.7
AL,Stevenson city,73.8,17.4,1.1,0.4,3.9
AL,Stewartville CDP,95,3.5,0.7,0,0.4
AL,Sulligent city,78.3,19.3,0.1,0,0.8
AL,Sumiton city,93.2,4,0.4,0.2,0.8
