Geographic Area,City,Median Income
AL,Libertyville town,44286
AL,Lillian CDP,51776
AL,Lincoln city,55605
AL,Linden city,29722
AL,Lineville city,31472
AL,Lipscomb city,26163
AL,Lisman town,28750
AL,Littleville town,49107
AL,Livingston city,14426
AL,Loachapoka town,34688
AL,Lockhart town,36250
AL,Locust Fork town,57143
AL,Lookout Mountain CDP,51058
AL,Louisville town,34286
AL,Lowndesboro town,39375
AL,Loxley town,48000
AL,Luverne city,29844
AL,Lynn town,33452
AL,McDonald Chapel CDP,15588
AL,Macedonia CDP,(X)
AL,McIntosh town,48625
AL,McKenzie town,31500
AL,McMullen town,(X)
AL,Madison city,92960
AL,Madrid town,38750
AL,Magnolia Springs town,47614
AL,Malcolm CDP,(X)
AL,Malvern town,37000
AL,Maplesville town,32788
AL,Marbury CDP,37672
AL,Margaret town,64789
AL,Marion city,31029
AL,Maytown town,43750
AL,Meadowbrook CDP,92193
AL,Megargel CDP,-
AL,Memphis town,(X)
AL,Mentone town,38750
AL,Meridianville CDP,68368
AL,Midfield city,39678
AL,Midland City town,27163
AL,Midway town,24514
AL,Mignon CDP,32452
AL,Millbrook city,58330
AL,Millerville CDP,24861
AL,Millport town,32443
AL,Millry town,37813
AL,Minor CDP,45000
AL,Mobile city,38776
AL,Monroeville city,30678
AL,Montevallo city,34760
AL,Montgomery city,42927
AL,Moody city,61049
AL,Moores Mill CDP,63911
AL,Mooresville town,99375
AL,Morris town,70043
AL,Morrison Crossroads CDP,21169
AL,Mosses town,15240
AL,Moulton city,28843
AL,Moundville town,39719
AL,Mountain Brook city,126534
AL,Mount Olive CDP (Coosa County),(X)
AL,Mount Olive CDP (Jefferson County),73345
AL,Mount Vernon town,40750
AL,Movico CDP,(X)
AL,Mulga town,34886
AL,Munford town,34034
AL,Muscle Shoals city,48896
AL,Myrtlewood town,35000
AL,Nanafalia CDP,(X)
AL,Nances Creek CDP,51196
AL,Napier Field town,32000
AL,Natural Bridge town,(X)
AL,Nauvoo town,27000
AL,Nectar town,35313
AL,Needham town,56458
AL,Newbern town,18750
AL,New Brockton town,41066
AL,New Hope city,44224
AL,New Market CDP,59653
AL,New Site town,42143
AL,Newton town,41198
AL,New Union CDP,36429
AL,Newville town,31172
AL,North Courtland town,24097
AL,North Johns town,39750
AL,Northport city,53650
AL,Notasulga town,37273
AL,Oak Grove town,40972
AL,Oak Hill town,(X)
AL,Oakman town,40469
AL,Odenville town,51518
AL,Ohatchee town,51688
AL,Oneonta city,36852
AL,Onycha town,22917
AL,Opelika city,40489
AL,Opp city,34695
AL,Orange Beach city,57535
AL,Orrville town,16250
AL,Our Town CDP,38125
AL,Owens Cross Roads town,51750
AL,Oxford city,51375
AL,Ozark city,37813
AL,Paint Rock town,23036
AL,Panola CDP,(X)
AL,Parrish town,29335
AL,Pelham city,67907
AL,Pell City city,41944
AL,Pennington town,(X)
AL,Penton CDP,30417
AL,Perdido CDP,24286
AL,Perdido Beach town,47222
AL,Peterman CDP,28009
AL,Petrey town,38750
AL,Phenix City city,36698
AL,Phil Campbell town,25852
AL,Pickensville town,31607
AL,Piedmont city,28884
AL,Pike Road town,97500
AL,Pinckard town,31042
AL,Pine Apple town,46250
AL,Pine Hill town,30682
AL,Pine Level CDP,56125
AL,Pine Ridge town,24286
AL,Pinson city,59909
AL,Pisgah town,26635
AL,Pleasant Grove city,63302
AL,Pleasant Groves town,46875
AL,Point Clear CDP,47200
AL,Pollard town,31607
AL,Powell town,30903
AL,Prattville city,55297
AL,Priceville town,84375
AL,Prichard city,23785
AL,Providence town,40208
AL,Putnam CDP,(X)
AL,Ragland town,38571
AL,Rainbow City city,49338
AL,Rainsville city,39691
AL,Ranburne town,50909
AL,Ray CDP,45909
AL,Red Bay city,29076
AL,Redland CDP,75139
AL,Red Level town,38571
AL,Redstone Arsenal CDP,60893
AL,Reece City town,43261
AL,Reeltown CDP,74688
AL,Reform town,20136
AL,Rehobeth town,47108
AL,Repton town,23125
AL,Ridgeville town,20625
AL,River Falls town,28977
AL,Riverside town,61417
AL,Riverview town,37222
AL,Roanoke city,34956
AL,Robertsdale city,47364
AL,Rock Creek CDP,52227
AL,Rockford town,22778
AL,Rock Mills CDP,(X)
AL,Rockville CDP,-
AL,Rogersville town,36346
AL,Rosa town,44808
AL,Russellville city,29859
AL,Rutledge town,39688
AL,St. Florian town,62500
AL,St. Stephens CDP,42500
AL,Saks CDP,42070
AL,Samson city,22556
AL,Sand Rock town,44375
AL,Sanford town,33333
AL,Saraland city,52621
AL,Sardis City town,51681
AL,Satsuma city,59311
AL,Scottsboro city,38007
AL,Section town,30278
AL,Selma city,22414
AL,Selmont-West Selmont CDP,23015
AL,Semmes city,46596
AL,Sheffield city,34205
AL,Shelby CDP,45139
AL,Shiloh town,36250
AL,Shoal Creek CDP,114018
AL,Shorter town,38409
AL,Silas town,27875
AL,Silverhill town,40921
AL,Sims Chapel CDP,86071
AL,Sipsey town,27393
AL,Skyline town,38810
AL,Slocomb city,35512
AL,Smiths Station city,46354
AL,Smoke Rise CDP,86310
AL,Snead town,35000
AL,Somerville town,40417
AL,Southside city,65946
AL,South Vinemont town,26141
AL,Spanish Fort city,72747
AL,Spring Garden CDP,(X)
AL,Springville city,73906
AL,Spruce Pine CDP,-
AL,Standing Rock CDP,49583
AL,Stapleton CDP,53083
AL,Steele town,31063
AL,Sterrett CDP,31410
AL,Stevenson city,38053
AL,Stewartville CDP,43333
AL,Stockton CDP,65000
AL,Sulligent city,30050
AL,Sumiton city,42321
AL,Summerdale town,39803
AL,Susan Moore town,40417
AL,Sweet Water town,79375
AL,Sylacauga city,33407
AL,Sylvania town,46964
AL,Sylvan Springs town,56630
AL,Talladega city,29482
AL,Talladega Springs town,50833
AL,Tallassee city,38275
AL,Tarrant city,25653
AL,Taylor town,43116
AL,Theodore CDP,44284
AL,Thomaston town,48523
AL,Thomasville city,36146
AL,Thorsby town,45478
AL,Tibbie CDP,-
AL,Tidmore Bend CDP,48466
AL,Tillmans Corner CDP,48290
AL,Town Creek town,28382
AL,Toxey town,23542
AL,Trafford town,28889
AL,Triana town,41875
AL,Trinity town,73625
AL,Troy city,31707
AL,Trussville city,82108
AL,Tuscaloosa city,39351
AL,Tuscumbia city,41176
AL,Tuskegee city,26896
AL,Twin town,41705
AL,Underwood-Petersville CDP,39874
AL,Union town,26875
AL,Union Grove town,40313
AL,Union Springs city,30032
AL,Uniontown town,14967
AL,Uriah CDP,23421
AL,Valley city,39531
AL,Valley Grande city,55134
AL,Valley Head town,30391
AL,Vance town,64432
AL,Vandiver CDP,47171
AL,Vernon city,30292
AL,Vestavia Hills city,84854
AL,Vina town,22500
AL,Vincent town,42692
AL,Vinegar Bend CDP,77083
AL,Vredenburgh town,(X)
AL,Wadley town,25294
AL,Waldo town,32188
AL,Walnut Grove town,38846
AL,Warrior city,45396
AL,Waterloo town,39167
AL,Waverly town,55417
AL,Weaver city,44851
AL,Webb town,35375
AL,Wedowee town,26574
AL,Weogufka CDP,19792
AL,West Blocton town,36250
AL,West End-Cobb Town CDP,35233
AL,West Jefferson town,45938
AL,Westover town,58906
AL,West Point town,50329
AL,Wetumpka city,46190
AL,Whatley CDP,-
AL,White Hall town,18462
AL,White Plains CDP,55781
AL,Whitesboro CDP,36736
AL,Wilsonville town,43456
AL,Wilton town,39750
AL,Winfield city,40654
AL,Woodland town,34205
AL,Woodstock town,54519
AL,Woodville town,34444
AL,Yellow Bluff town,16786
AL,York city,17399
AK,Adak city,78500
AK,Akhiok city,26250
AK,Akiachak CDP,38750
AK,Akiak city,42000
AK,Akutan city,24750
AK,Alakanuk city,32917
AK,Alatna CDP,-
AK,Alcan Border CDP,-
AK,Aleknagik city,41875
AK,Aleneva CDP,-
AK,Allakaket city,26500
AK,Ambler city,42344
AK,Anaktuvuk Pass city,66250
AK,Anchorage municipality,78326
AK,Anchor Point CDP,51591
AK,Anderson city,87708
AK,Angoon city,32750
AK,Aniak city,60500
AK,Anvik city,26563
AK,Arctic Village CDP,26250
AK,Atka city,50625
AK,Atmautluak CDP,50625
AK,Atqasuk city,52500
AK,Attu Station CDP,-
AK,Badger CDP,75917
AK,Barrow city,76902
AK,Bear Creek CDP,81458
AK,Beaver CDP,24000
AK,Beluga CDP,(X)
AK,Bethel city,76135
AK,Bettles city,50000
AK,Big Delta CDP,65417
AK,Big Lake CDP,70988
AK,Birch Creek CDP,-
AK,Brevig Mission city,32344
AK,Buckland city,60357
AK,Buffalo Soapstone CDP,68333
AK,Butte CDP,81875
AK,Cantwell CDP,56000
AK,Central CDP,(X)
AK,Chalkyitsik CDP,29375
AK,Chase CDP,-
AK,Chefornak city,55625
AK,Chena Ridge CDP,93532
AK,Chenega CDP,(X)
AK,Chevak city,41136
AK,Chickaloon CDP,40893
AK,Chicken CDP,-
AK,Chignik city,96250
AK,Chignik Lagoon CDP,93438
AK,Chignik Lake CDP,45000
AK,Chiniak CDP,-
AK,Chisana CDP,-
AK,Chistochina CDP,(X)
AK,Chitina CDP,(X)
AK,Chuathbaluk city,43750
AK,Circle CDP,17125
AK,Clam Gulch CDP,(X)
AK,Clark's Point city,25833
AK,Coffman Cove city,41786
AK,Cohoe CDP,57228
AK,Cold Bay city,86250
AK,Coldfoot CDP,-
AK,College CDP,73812
AK,Cooper Landing CDP,64301
AK,Copper Center CDP,39063
AK,Cordova city,85833
AK,Covenant Life CDP,31875
AK,Craig city,63229
AK,Crooked Creek CDP,31250
AK,Crown Point CDP,56688
AK,Deering city,50000
AK,Delta Junction city,72500
AK,Deltana CDP,74457
AK,Diamond Ridge CDP,69375
AK,Dillingham city,66875
AK,Diomede city,16250
AK,Dot Lake CDP,-
AK,Dot Lake Village CDP,20625
AK,Dry Creek CDP,(X)
AK,Eagle city,33125
AK,Eagle Village CDP,(X)
AK,Edna Bay city,-
AK,Eek city,39063
AK,Egegik city,38125
AK,Eielson AFB CDP,53388
AK,Ekwok city,31875
AK,Elfin Cove CDP,106667
AK,Elim city,37188
AK,Emmonak city,44773
AK,Ester CDP,68163
AK,Eureka Roadhouse CDP,-
AK,Evansville CDP,23750
AK,Excursion Inlet CDP,-
AK,Fairbanks city,55229
AK,False Pass city,55625
AK,Farmers Loop CDP,100703
AK,Farm Loop CDP,82250
AK,Ferry CDP,-
AK,Fishhook CDP,86917
AK,Flat CDP,-
AK,Fort Greely CDP,(X)
AK,Fort Yukon city,39583
AK,Four Mile Road CDP,-
AK,Fox CDP,76563
AK,Fox River CDP,57083
AK,Fritz Creek CDP,61875
AK,Funny River CDP,59314
AK,Gakona CDP,80625
AK,Galena city,63333
AK,Gambell city,29417
AK,Game Creek CDP,-
AK,Gateway CDP,92739
AK,Glacier View CDP,43000
AK,Glennallen CDP,(X)
AK,Goldstream CDP,88371
AK,Golovin city,40000
AK,Goodnews Bay city,30313
AK,Grayling city,20417
AK,Gulkana CDP,(X)
AK,Gustavus city,57639
AK,Haines CDP,69735
AK,Halibut Cove CDP,-
AK,Happy Valley CDP,41625
AK,Harding-Birch Lakes CDP,51042
AK,Healy CDP,88462
AK,Healy Lake CDP,-
AK,Hobart Bay CDP,-
AK,Hollis CDP,103571
AK,Holy Cross city,36094
AK,Homer city,55849
AK,Hoonah city,57708
AK,Hooper Bay city,35938
AK,Hope CDP,-
AK,Houston city,50438
AK,Hughes city,32500
AK,Huslia city,42000
AK,Hydaburg city,31250
AK,Hyder CDP,-
AK,Igiugig CDP,51250
AK,Iliamna CDP,68750
AK,Ivanof Bay CDP,-
AK,Juneau city and borough,85746
AK,Kachemak city,70625
AK,Kake city,40417
AK,Kaktovik city,48125
AK,Kalifornsky CDP,72335
AK,Kaltag city,28750
AK,Karluk CDP,20938
AK,Kasaan city,49286
AK,Kasigluk CDP,43750
AK,Kasilof CDP,65893
AK,Kenai city,62236
AK,Kenny Lake CDP,(X)
AK,Ketchikan city,53111
AK,Kiana city,41250
AK,King Cove city,63667
AK,King Salmon CDP,81563
AK,Kipnuk CDP,34583
AK,Kivalina city,52917
AK,Klawock city,38125
AK,Klukwan CDP,50000
AK,Knik-Fairview CDP,82858
AK,Knik River CDP,68250
AK,Kobuk city,43333
AK,Kodiak city,62934
AK,Kodiak Station CDP,61923
AK,Kokhanok CDP,32083
AK,Koliganek CDP,40000
AK,Kongiganak CDP,37679
AK,Kotlik city,39583
AK,Kotzebue city,87708
AK,Koyuk city,33182
AK,Koyukuk city,17083
AK,Kupreanof city,52083
AK,Kwethluk city,44063
AK,Kwigillingok CDP,42188
AK,Lake Louise CDP,-
AK,Lake Minchumina CDP,82813
AK,Lakes CDP,83574
AK,Larsen Bay city,47917
AK,Lazy Mountain CDP,82109
AK,Levelock CDP,37813
AK,Lime Village CDP,(X)
AK,Livengood CDP,-
AK,Loring CDP,-
AK,Lowell Point CDP,-
AK,Lower Kalskag city,30536
AK,Lutak CDP,-
AK,McCarthy CDP,-
AK,McGrath city,64792
AK,McKinley Park CDP,78750
AK,Manley Hot Springs CDP,54375
AK,Manokotak city,36667
AK,Marshall city,36875
AK,Meadow Lakes CDP,65850
AK,Mekoryuk city,24750
AK,Mendeltna CDP,-
AK,Mentasta Lake CDP,21250
AK,Mertarvik CDP,-
AK,Metlakatla CDP,49924
AK,Minto CDP,32250
AK,Moose Creek CDP,51369
AK,Moose Pass CDP,102750
AK,Mosquito Lake CDP,31736
AK,Mountain Village city,39205
AK,Mud Bay CDP,119423
AK,Nabesna CDP,-
AK,Naknek CDP,79750
AK,Nanwalek CDP,33542
AK,Napakiak city,24167
AK,Napaskiak city,30625
AK,Naukati Bay CDP,(X)
AK,Nelchina CDP,41964
AK,Nelson Lagoon CDP,74375
AK,Nenana city,43250
AK,New Allakaket CDP,26250
AK,Newhalen city,56250
AK,New Stuyahok city,42813
AK,Newtok CDP,38125
AK,Nightmute city,39375
AK,Nikiski CDP,70909
AK,Nikolaevsk CDP,23125
AK,Nikolai city,36875
AK,Nikolski CDP,35000
AK,Ninilchik CDP,49659
AK,Noatak CDP,51250
AK,Nome city,76389
AK,Nondalton city,30833
AK,Noorvik city,40833
AK,North Pole city,70536
AK,Northway CDP,51250
AK,Northway Junction CDP,57500
AK,Northway Village CDP,20000
AK,Nuiqsut city,80938
AK,Nulato city,38281
AK,Nunam Iqua city,41250
AK,Nunapitchuk city,35833
AK,Old Harbor city,33750
AK,Oscarville CDP,(X)
AK,Ouzinkie city,34464
AK,Palmer city,61797
AK,Paxson CDP,-
AK,Pedro Bay CDP,56667
AK,Pelican city,66667
AK,Perryville CDP,38125
AK,Petersburg CDP,68641
AK,Petersville CDP,-
AK,Pilot Point city,28750
AK,Pilot Station city,33125
AK,Pitkas Point CDP,47500
AK,Platinum city,44063
AK,Pleasant Valley CDP,68929
AK,Point Baker CDP,-
AK,Point Hope city,57292
AK,Point Lay CDP,61563
AK,Point MacKenzie CDP,78500
AK,Point Possession CDP,-
AK,Pope-Vannoy Landing CDP,-
AK,Portage Creek CDP,-
AK,Port Alexander city,82813
AK,Port Alsworth CDP,63750
AK,Port Clarence CDP,-
AK,Port Graham CDP,30000
AK,Port Heiden city,59375
AK,Port Lions city,41042
AK,Port Protection CDP,(X)
AK,Primrose CDP,81458
AK,Prudhoe Bay CDP,-
AK,Quinhagak city,31719
AK,Rampart CDP,-
AK,Red Devil CDP,51875
AK,Red Dog Mine CDP,-
AK,Ridgeway CDP,103203
AK,Ruby city,24688
AK,Russian Mission city,36563
AK,St. George city,53750
AK,St. Mary's city,42500
AK,St. Michael city,33125
AK,St. Paul city,57708
AK,Salamatof CDP,61458
AK,Salcha CDP,79167
AK,Sand Point city,56875
AK,Savoonga city,33661
AK,Saxman city,46250
AK,Scammon Bay city,27917
AK,Selawik city,41827
AK,Seldovia city,46875
AK,Seldovia Village CDP,59250
AK,Seward city,53750
AK,Shageluk city,(X)
AK,Shaktoolik city,38750
AK,Shishmaref city,29375
AK,Shungnak city,43125
AK,Silver Springs CDP,85341
AK,Sitka city and borough,70376
AK,Skagway CDP,69643
AK,Skwentna CDP,31667
AK,Slana CDP,18063
AK,Sleetmute CDP,30313
AK,Soldotna city,65048
AK,South Naknek CDP,58750
AK,South Van Horn CDP,65750
AK,Stebbins city,39271
AK,Steele Creek CDP,82049
AK,Sterling CDP,71597
AK,Stevens Village CDP,15938
AK,Stony River CDP,22500
AK,Sunrise CDP,-
AK,Susitna CDP,-
AK,Susitna North CDP,50536
AK,Sutton-Alpine CDP,35500
AK,Takotna CDP,23750
AK,Talkeetna CDP,49861
AK,Tanacross CDP,18194
AK,Tanaina CDP,78263
AK,Tanana city,45625
AK,Tatitlek CDP,40000
AK,Tazlina CDP,64688
AK,Teller city,24792
AK,Tenakee Springs city,54375
AK,Tetlin CDP,21563
AK,Thorne Bay city,53393
AK,Togiak city,46250
AK,Tok CDP,56818
AK,Toksook Bay city,64000
AK,Tolsona CDP,-
AK,Tonsina CDP,-
AK,Trapper Creek CDP,23125
AK,Tuluksak CDP,23214
AK,Tuntutuliak CDP,36750
AK,Tununak CDP,32500
AK,Twin Hills CDP,38125
AK,Two Rivers CDP,66466
AK,Tyonek CDP,33750
AK,Ugashik CDP,53958
AK,Unalakleet city,68015
AK,Unalaska city,90500
AK,Upper Kalskag city,36806
AK,Valdez city,98204
AK,Venetie CDP,27500
AK,Wainwright city,64583
AK,Wales city,29063
AK,Wasilla city,61541
AK,Whale Pass CDP,-
AK,White Mountain city,27083
AK,Whitestone CDP,-
AK,Whitestone Logging Camp CDP,-
AK,Whittier city,55893
AK,Willow CDP,61970
AK,Willow Creek CDP,-
AK,Wiseman CDP,-
AK,Womens Bay CDP,86818
AK,Wrangell city and borough,48603
AK,Yakutat CDP,72500
AZ,Aguila CDP,26842
AZ,Ajo CDP,32964
AZ,Ak Chin CDP,-
AZ,Ak-Chin Village CDP,25197
AZ,Alamo Lake CDP,-
AZ,Ali Chuk CDP,18661
AZ,Ali Chukson CDP,(X)
AZ,Ali Molina CDP,(X)
AZ,Alpine CDP,(X)
AZ,Amado CDP,50284
AZ,Anegam CDP,(X)
AZ,Antares CDP,25417
AZ,Anthem CDP,85893
AZ,Apache Junction city,35671
AZ,Arivaca CDP,22130
AZ,Arivaca Junction CDP,36354
AZ,Arizona City CDP,42927
AZ,Arizona Village CDP,35625
AZ,Arlington CDP,(X)
AZ,Ash Fork CDP,25762
AZ,Avenue B and C CDP,26495
AZ,Avondale city,55100
AZ,Avra Valley CDP,49902
AZ,Aztec CDP,-
AZ,Bagdad CDP,78233
AZ,Bear Flat CDP,-
AZ,Beaver Dam CDP,45078
AZ,Beaver Valley CDP,(X)
AZ,Benson city,32010
AZ,Beyerville CDP,31875
AZ,Bisbee city,31010
AZ,Bitter Springs CDP,25000
AZ,Black Canyon City CDP,35781
AZ,Blackwater CDP,18068
AZ,Bluewater CDP,33355
AZ,Bouse CDP,30326
AZ,Bowie CDP,33438
AZ,Brenda CDP,57708
AZ,Bryce CDP,56771
AZ,Buckeye town,58939
AZ,Buckshot CDP,-
AZ,Bullhead City city,35948
AZ,Burnside CDP,24583
AZ,Bylas CDP,24028
AZ,Cactus Flats CDP,56897
AZ,Cactus Forest CDP,26573
AZ,Cameron CDP,35000
AZ,Campo Bonito CDP,-
AZ,Camp Verde town,32957
AZ,Cane Beds CDP,47647
AZ,Canyon Day CDP,30000
AZ,Carefree town,93014
AZ,Carrizo CDP,22946
AZ,Casa Blanca CDP,18750
AZ,Casa Grande city,44348
AZ,Casas Adobes CDP,56265
AZ,Catalina CDP,50885
AZ,Catalina Foothills CDP,78586
AZ,Cave Creek town,76149
AZ,Cedar Creek CDP,22411
AZ,Centennial Park CDP,45060
AZ,Central CDP,(X)
AZ,Central Heights-Midland City CDP,34000
AZ,Chandler city,72695
AZ,Charco CDP,(X)
AZ,Chiawuli Tak CDP,-
AZ,Chilchinbito CDP,16528
AZ,Chinle CDP,41296
AZ,Chino Valley town,43379
AZ,Chloride CDP,20431
AZ,Christopher Creek CDP,23611
AZ,Chuichu CDP,39350
AZ,Cibecue CDP,18088
AZ,Cibola CDP,36940
AZ,Cienega Springs CDP,33636
AZ,Citrus Park CDP,93684
AZ,Clacks Canyon CDP,100104
AZ,Clarkdale town,46949
AZ,Claypool CDP,32796
AZ,Clay Springs CDP,(X)
AZ,Clifton town,58036
AZ,Colorado City town,30150
AZ,Comobabi CDP,-
AZ,Concho CDP,-
AZ,Congress CDP,39364
AZ,Coolidge city,39621
AZ,Copper Hill CDP,-
