Geographic Area,City,poverty_rate
AL,Mooresville town,0
AL,Morris town,5.8
AL,Morrison Crossroads CDP,9.5
AL,Mosses town,55.8
AL,Moulton city,24.3
AL,Moundville town,18.7
AL,Mountain Brook city,3
AL,Mount Olive CDP (Coosa County),1.7
AL,Mount Olive CDP (Jefferson County),11
AL,Mount Vernon town,31.3
AL,Movico CDP,12.9
AL,Mulga town,30.5
AL,Munford town,18.8
AL,Muscle Shoals city,10.7
AL,Myrtlewood town,7
AL,Nanafalia CDP,29.7
AL,Nances Creek CDP,0
AL,Napier Field town,21.7
AL,Natural Bridge town,2.3
AL,Nauvoo town,26.2
AL,Nectar town,18.3
AL,Needham town,1.9
AL,Newbern town,35
AL,New Brockton town,20.9
AL,New Hope city,14.8
AL,New Market CDP,0
AL,New Site town,9.6
AL,Newton town,17.7
AL,New Union CDP,27.9
AL,Newville town,21
AL,North Courtland town,22.4
AL,North Johns town,11.7
AL,Northport city,13.7
AL,Notasulga town,29.5
AL,Oak Grove town,13.1
AL,Oak Hill town,72.7
AL,Oakman town,21.4
AL,Odenville town,16.2
AL,Ohatchee town,14.8
AL,Oneonta city,12.8
AL,Onycha town,23.4
AL,Opelika city,23
AL,Opp city,25.9
AL,Orange Beach city,10.5
AL,Orrville town,37.3
AL,Our Town CDP,0
AL,Owens Cross Roads town,9.5
AL,Oxford city,11.7
AL,Ozark city,23.1
AL,Paint Rock town,35.6
AL,Panola CDP,40.6
AL,Parrish town,15.8
AL,Pelham city,4.6
AL,Pell City city,20.8
AL,Pennington town,34.9
AL,Penton CDP,30.9
AL,Perdido CDP,39.5
AL,Perdido Beach town,17.7
AL,Peterman CDP,14.2
AL,Petrey town,0
AL,Phenix City city,21
AL,Phil Campbell town,34.4
AL,Pickensville town,22.4
AL,Piedmont city,25.6
AL,Pike Road town,2.3
AL,Pinckard town,13
AL,Pine Apple town,21
AL,Pine Hill town,48.5
AL,Pine Level CDP,9.6
AL,Pine Ridge town,44.7
AL,Pinson city,5.8
AL,Pisgah town,31.9
AL,Pleasant Grove city,6.4
AL,Pleasant Groves town,8.2
AL,Point Clear CDP,12.1
AL,Pollard town,24.2
AL,Powell town,31.5
AL,Prattville city,11.5
AL,Priceville town,5.8
AL,Prichard city,36.3
AL,Providence town,10.8
AL,Putnam CDP,30
AL,Ragland town,17
AL,Rainbow City city,17.7
AL,Rainsville city,16.7
AL,Ranburne town,5.8
AL,Ray CDP,5.8
AL,Red Bay city,29.9
AL,Redland CDP,5.9
AL,Red Level town,17.6
AL,Redstone Arsenal CDP,9.8
AL,Reece City town,13.7
AL,Reeltown CDP,0
AL,Reform town,39.9
AL,Rehobeth town,9.5
AL,Repton town,34.6
AL,Ridgeville town,35.9
AL,River Falls town,20.5
AL,Riverside town,4.8
AL,Riverview town,15.9
AL,Roanoke city,20.3
AL,Robertsdale city,10.6
AL,Rock Creek CDP,8.1
AL,Rockford town,38.1
AL,Rock Mills CDP,36.7
AL,Rockville CDP,0
AL,Rogersville town,28.7
AL,Rosa town,11.4
AL,Russellville city,34.4
AL,Rutledge town,13.5
AL,St. Florian town,5
AL,St. Stephens CDP,25.9
AL,Saks CDP,17.9
AL,Samson city,39.6
AL,Sand Rock town,5.9
AL,Sanford town,17.5
AL,Saraland city,11.2
AL,Sardis City town,12.5
AL,Satsuma city,10.3
AL,Scottsboro city,16
AL,Section town,25.9
AL,Selma city,41.9
AL,Selmont-West Selmont CDP,45.5
AL,Semmes city,19.2
AL,Sheffield city,25
AL,Shelby CDP,36.8
AL,Shiloh town,13.7
AL,Shoal Creek CDP,2.6
AL,Shorter town,12.9
AL,Silas town,49
AL,Silverhill town,7.5
AL,Sims Chapel CDP,8.6
AL,Sipsey town,15.2
AL,Skyline town,19.4
AL,Slocomb city,17.7
AL,Smiths Station city,13.5
AL,Smoke Rise CDP,5
AL,Snead town,11
AL,Somerville town,18.7
AL,Southside city,4.7
AL,South Vinemont town,32.8
AL,Spanish Fort city,7.8
AL,Spring Garden CDP,20.7
AL,Springville city,9.3
AL,Spruce Pine CDP,0
AL,Standing Rock CDP,0
AL,Stapleton CDP,7
AL,Steele town,17.5
AL,Sterrett CDP,8.5
AL,Stevenson city,24.5
AL,Stewartville CDP,17.5
AL,Stockton CDP,1.4
AL,Sulligent city,26.4
AL,Sumiton city,17.6
AL,Summerdale town,11.2
AL,Susan Moore town,20.6
AL,Sweet Water town,1.6
AL,Sylacauga city,29.8
AL,Sylvania town,17.9
AL,Sylvan Springs town,5.3
AL,Talladega city,27.2
AL,Talladega Springs town,12.5
AL,Tallassee city,17.1
AL,Tarrant city,31.8
AL,Taylor town,19.6
AL,Theodore CDP,12.2
AL,Thomaston town,18.3
AL,Thomasville city,13.3
AL,Thorsby town,19.2
AL,Tibbie CDP,70.8
AL,Tidmore Bend CDP,12.1
AL,Tillmans Corner CDP,17.7
AL,Town Creek town,29.6
AL,Toxey town,33.5
AL,Trafford town,29.1
AL,Triana town,27.1
AL,Trinity town,10
AL,Troy city,31.1
AL,Trussville city,4.7
AL,Tuscaloosa city,25.1
AL,Tuscumbia city,15.3
AL,Tuskegee city,27.6
AL,Twin town,16.5
AL,Underwood-Petersville CDP,12.9
AL,Union town,22.7
AL,Union Grove town,6.2
AL,Union Springs city,26.8
AL,Uniontown town,48.4
AL,Uriah CDP,14.7
AL,Valley city,18.5
AL,Valley Grande city,12.3
AL,Valley Head town,23.2
AL,Vance town,9
AL,Vandiver CDP,12.3
AL,Vernon city,31.1
AL,Vestavia Hills city,4.3
AL,Vina town,23.9
AL,Vincent town,10.9
AL,Vinegar Bend CDP,0
AL,Vredenburgh town,39
AL,Wadley town,34.7
AL,Waldo town,22
AL,Walnut Grove town,10.3
AL,Warrior city,18.8
AL,Waterloo town,18.2
AL,Waverly town,10.9
AL,Weaver city,5.7
AL,Webb town,18.7
AL,Wedowee town,26.7
AL,Weogufka CDP,43.2
AL,West Blocton town,31.6
AL,West End-Cobb Town CDP,19.6
AL,West Jefferson town,10.2
AL,Westover town,13.4
AL,West Point town,14.2
AL,Wetumpka city,10.7
AL,Whatley CDP,-
AL,White Hall town,42.7
AL,White Plains CDP,5
AL,Whitesboro CDP,25.2
AL,Wilsonville town,20.3
AL,Wilton town,12
AL,Winfield city,13.3
AL,Woodland town,26.6
AL,Woodstock town,13.5
AL,Woodville town,25.9
AL,Yellow Bluff town,44.1
AL,York city,46.8
AK,Adak city,39.3
AK,Akhiok city,40.5
AK,Akiachak CDP,26.1
AK,Akiak city,31.3
AK,Akutan city,16.1
AK,Alakanuk city,44.6
AK,Alatna CDP,0
AK,Alcan Border CDP,0
AK,Aleknagik city,11.6
AK,Aleneva CDP,0
AK,Allakaket city,9.1
AK,Ambler city,21.4
AK,Anaktuvuk Pass city,26.3
AK,Anchorage municipality,8.2
AK,Anchor Point CDP,10.1
AK,Anderson city,0
AK,Angoon city,17.8
AK,Aniak city,19
AK,Anvik city,16.3
AK,Arctic Village CDP,36.6
AK,Atka city,1.5
AK,Atmautluak CDP,25.6
AK,Atqasuk city,23.3
AK,Attu Station CDP,-
AK,Badger CDP,4.5
AK,Barrow city,11.7
AK,Bear Creek CDP,12.7
AK,Beaver CDP,30
AK,Beluga CDP,33.3
AK,Bethel city,11.4
AK,Bettles city,0
AK,Big Delta CDP,13
AK,Big Lake CDP,9.6
AK,Birch Creek CDP,100
AK,Brevig Mission city,57.6
AK,Buckland city,24.4
AK,Buffalo Soapstone CDP,4.6
AK,Butte CDP,9.6
AK,Cantwell CDP,9.1
AK,Central CDP,5.2
AK,Chalkyitsik CDP,36.6
AK,Chase CDP,0
AK,Chefornak city,18.4
AK,Chena Ridge CDP,4.9
AK,Chenega CDP,34.8
AK,Chevak city,32.8
AK,Chickaloon CDP,13.5
AK,Chicken CDP,-
AK,Chignik city,0
AK,Chignik Lagoon CDP,0
AK,Chignik Lake CDP,8.6
AK,Chiniak CDP,0
AK,Chisana CDP,-
AK,Chistochina CDP,20.3
AK,Chitina CDP,15
AK,Chuathbaluk city,50.5
AK,Circle CDP,63.6
AK,Clam Gulch CDP,13.2
AK,Clark's Point city,55.4
AK,Coffman Cove city,6
AK,Cohoe CDP,16
AK,Cold Bay city,0
AK,Coldfoot CDP,30
AK,College CDP,8.2
AK,Cooper Landing CDP,4.2
AK,Copper Center CDP,18.8
AK,Cordova city,5.8
AK,Covenant Life CDP,0
AK,Craig city,13.9
AK,Crooked Creek CDP,39.8
AK,Crown Point CDP,0
AK,Deering city,14
AK,Delta Junction city,10.6
AK,Deltana CDP,14.9
AK,Diamond Ridge CDP,9.2
AK,Dillingham city,12.3
AK,Diomede city,65.1
AK,Dot Lake CDP,-
AK,Dot Lake Village CDP,25.9
AK,Dry Creek CDP,15.5
AK,Eagle city,25.8
AK,Eagle Village CDP,17.6
AK,Edna Bay city,-
AK,Eek city,21.2
AK,Egegik city,17.6
AK,Eielson AFB CDP,6.8
AK,Ekwok city,28.6
AK,Elfin Cove CDP,0
AK,Elim city,29.3
AK,Emmonak city,25.8
AK,Ester CDP,9.1
AK,Eureka Roadhouse CDP,-
AK,Evansville CDP,0
AK,Excursion Inlet CDP,12.5
AK,Fairbanks city,13.1
AK,False Pass city,5.4
AK,Farmers Loop CDP,5.8
AK,Farm Loop CDP,4.1
AK,Ferry CDP,100
AK,Fishhook CDP,4.8
AK,Flat CDP,-
AK,Fort Greely CDP,0
AK,Fort Yukon city,18.5
AK,Four Mile Road CDP,0
AK,Fox CDP,0
AK,Fox River CDP,17.1
AK,Fritz Creek CDP,11.7
AK,Funny River CDP,11.9
AK,Gakona CDP,8.8
AK,Galena city,7.9
AK,Gambell city,41.3
AK,Game Creek CDP,0
AK,Gateway CDP,7.8
AK,Glacier View CDP,9.2
AK,Glennallen CDP,0
AK,Goldstream CDP,3.7
AK,Golovin city,39.4
AK,Goodnews Bay city,36.2
AK,Grayling city,42
AK,Gulkana CDP,7.8
AK,Gustavus city,8.1
AK,Haines CDP,5.1
AK,Halibut Cove CDP,0
AK,Happy Valley CDP,15.5
AK,Harding-Birch Lakes CDP,4.2
AK,Healy CDP,6.8
AK,Healy Lake CDP,-
AK,Hobart Bay CDP,-
AK,Hollis CDP,4.8
AK,Holy Cross city,13.1
AK,Homer city,12.6
AK,Hoonah city,16.4
AK,Hooper Bay city,40.9
AK,Hope CDP,0
AK,Houston city,14.8
AK,Hughes city,21
AK,Huslia city,24.5
AK,Hydaburg city,17.3
AK,Hyder CDP,46.2
AK,Igiugig CDP,6.1
AK,Iliamna CDP,15.8
AK,Ivanof Bay CDP,-
AK,Juneau city and borough,6.6
AK,Kachemak city,8.9
AK,Kake city,21.8
AK,Kaktovik city,4.1
AK,Kalifornsky CDP,5.1
AK,Kaltag city,13.5
AK,Karluk CDP,31.8
AK,Kasaan city,2.8
AK,Kasigluk CDP,35.8
AK,Kasilof CDP,5.7
AK,Kenai city,10.9
AK,Kenny Lake CDP,35.9
AK,Ketchikan city,16.6
AK,Kiana city,36.3
AK,King Cove city,17.5
AK,King Salmon CDP,11.9
AK,Kipnuk CDP,35.1
AK,Kivalina city,29.9
AK,Klawock city,17.5
AK,Klukwan CDP,10.6
AK,Knik-Fairview CDP,8.2
AK,Knik River CDP,7.1
AK,Kobuk city,49.1
AK,Kodiak city,11.8
AK,Kodiak Station CDP,6.8
AK,Kokhanok CDP,24.1
AK,Koliganek CDP,14.7
AK,Kongiganak CDP,26.2
AK,Kotlik city,31.6
AK,Kotzebue city,16.3
AK,Koyuk city,48.9
AK,Koyukuk city,46.3
AK,Kupreanof city,5
AK,Kwethluk city,28.3
AK,Kwigillingok CDP,21.5
AK,Lake Louise CDP,46.7
AK,Lake Minchumina CDP,14.3
AK,Lakes CDP,7.3
AK,Larsen Bay city,13.1
AK,Lazy Mountain CDP,8.2
AK,Levelock CDP,20.2
AK,Lime Village CDP,85.7
AK,Livengood CDP,0
AK,Loring CDP,-
AK,Lowell Point CDP,35.5
AK,Lower Kalskag city,35.2
AK,Lutak CDP,0
AK,McCarthy CDP,0
AK,McGrath city,16.8
AK,McKinley Park CDP,30.2
AK,Manley Hot Springs CDP,33.3
AK,Manokotak city,17.4
AK,Marshall city,20.3
AK,Meadow Lakes CDP,12.9
AK,Mekoryuk city,18.4
AK,Mendeltna CDP,0
AK,Mentasta Lake CDP,57.3
AK,Mertarvik CDP,-
AK,Metlakatla CDP,12
AK,Minto CDP,19.1
AK,Moose Creek CDP,2.1
AK,Moose Pass CDP,14.9
AK,Mosquito Lake CDP,9.5
AK,Mountain Village city,29
AK,Mud Bay CDP,0
AK,Nabesna CDP,-
AK,Naknek CDP,3.9
AK,Nanwalek CDP,60.5
AK,Napakiak city,53.1
AK,Napaskiak city,28.3
AK,Naukati Bay CDP,40.6
AK,Nelchina CDP,22.4
AK,Nelson Lagoon CDP,7.1
AK,Nenana city,15.3
AK,New Allakaket CDP,28.1
AK,Newhalen city,17.7
AK,New Stuyahok city,30.8
AK,Newtok CDP,42.3
AK,Nightmute city,26.6
AK,Nikiski CDP,8.3
AK,Nikolaevsk CDP,21.8
AK,Nikolai city,21.1
AK,Nikolski CDP,32.4
AK,Ninilchik CDP,10.8
AK,Noatak CDP,24.4
AK,Nome city,11.3
AK,Nondalton city,39.6
AK,Noorvik city,37.2
AK,North Pole city,7.5
AK,Northway CDP,21.4
AK,Northway Junction CDP,46.9
AK,Northway Village CDP,50
AK,Nuiqsut city,6.2
AK,Nulato city,27.6
AK,Nunam Iqua city,16.3
AK,Nunapitchuk city,43.9
AK,Old Harbor city,18.8
AK,Oscarville CDP,27.3
AK,Ouzinkie city,21.3
AK,Palmer city,11.5
AK,Paxson CDP,0
AK,Pedro Bay CDP,8.3
AK,Pelican city,0
AK,Perryville CDP,33.7
AK,Petersburg CDP,10.8
AK,Petersville CDP,-
AK,Pilot Point city,35.8
AK,Pilot Station city,39.3
AK,Pitkas Point CDP,25.7
AK,Platinum city,40.5
AK,Pleasant Valley CDP,11.9
AK,Point Baker CDP,78
AK,Point Hope city,17.6
AK,Point Lay CDP,19
AK,Point MacKenzie CDP,9
AK,Point Possession CDP,-
AK,Pope-Vannoy Landing CDP,-
AK,Portage Creek CDP,-
AK,Port Alexander city,0
AK,Port Alsworth CDP,2.1
AK,Port Clarence CDP,-
AK,Port Graham CDP,28.2
AK,Port Heiden city,0
AK,Port Lions city,20.8
AK,Port Protection CDP,39
AK,Primrose CDP,8.2
AK,Prudhoe Bay CDP,3.9
AK,Quinhagak city,38
AK,Rampart CDP,0
AK,Red Devil CDP,31.8
AK,Red Dog Mine CDP,0
AK,Ridgeway CDP,9.6
AK,Ruby city,33.2
AK,Russian Mission city,33.3
AK,St. George city,11.3
AK,St. Mary's city,20.8
AK,St. Michael city,38
AK,St. Paul city,14.8
AK,Salamatof CDP,14.9
AK,Salcha CDP,9.8
AK,Sand Point city,18.2
AK,Savoonga city,48.4
AK,Saxman city,15.2
AK,Scammon Bay city,44.1
AK,Selawik city,29.9
AK,Seldovia city,9.5
AK,Seldovia Village CDP,10.9
AK,Seward city,8.4
AK,Shageluk city,25.6
AK,Shaktoolik city,23.3
AK,Shishmaref city,42.8
AK,Shungnak city,28.8
AK,Silver Springs CDP,7.7
AK,Sitka city and borough,9
AK,Skagway CDP,4.6
AK,Skwentna CDP,26.2
AK,Slana CDP,92.9
AK,Sleetmute CDP,33.7
AK,Soldotna city,5.2
AK,South Naknek CDP,12.7
AK,South Van Horn CDP,29.6
AK,Stebbins city,29.3
AK,Steele Creek CDP,3.1
AK,Sterling CDP,10.1
AK,Stevens Village CDP,72
AK,Stony River CDP,62.5
AK,Sunrise CDP,0
AK,Susitna CDP,-
AK,Susitna North CDP,14.3
AK,Sutton-Alpine CDP,28.6
AK,Takotna CDP,32.7
AK,Talkeetna CDP,6.7
AK,Tanacross CDP,30.7
AK,Tanaina CDP,12.2
AK,Tanana city,4.2
AK,Tatitlek CDP,12.8
AK,Tazlina CDP,14.5
AK,Teller city,39.4
AK,Tenakee Springs city,2
AK,Tetlin CDP,38.1
AK,Thorne Bay city,13.4
AK,Togiak city,23.5
AK,Tok CDP,16.8
AK,Toksook Bay city,14.6
AK,Tolsona CDP,-
AK,Tonsina CDP,0
AK,Trapper Creek CDP,21.8
AK,Tuluksak CDP,74.7
AK,Tuntutuliak CDP,42
AK,Tununak CDP,32.9
AK,Twin Hills CDP,29.5
AK,Two Rivers CDP,0
AK,Tyonek CDP,21
AK,Ugashik CDP,0
AK,Unalakleet city,14.9
AK,Unalaska city,7.6
AK,Upper Kalskag city,18.3
AK,Valdez city,9.4
AK,Venetie CDP,53.1
AK,Wainwright city,18.2
AK,Wales city,34.8
AK,Wasilla city,11.7
AK,Whale Pass CDP,0
AK,White Mountain city,34.3
AK,Whitestone CDP,6
AK,Whitestone Logging Camp CDP,-
AK,Whittier city,11.2
AK,Willow CDP,13.4
AK,Willow Creek CDP,0
AK,Wiseman CDP,0
AK,Womens Bay CDP,13.8
AK,Wrangell city and borough,11.8
AK,Yakutat CDP,5.9
AZ,Aguila CDP,57.4
AZ,Ajo CDP,33.6
AZ,Ak Chin CDP,12.1
AZ,Ak-Chin Village CDP,54.5
AZ,Alamo Lake CDP,0
AZ,Ali Chuk CDP,73.2
AZ,Ali Chukson CDP,17.6
AZ,Ali Molina CDP,62.6
AZ,Alpine CDP,20
AZ,Amado CDP,0
AZ,Anegam CDP,49.4
AZ,Antares CDP,40.7
AZ,Anthem CDP,2.9
AZ,Apache Junction city,24
AZ,Arivaca CDP,16.4
AZ,Arivaca Junction CDP,30.3
AZ,Arizona City CDP,17.7
AZ,Arizona Village CDP,33.7
AZ,Arlington CDP,0
AZ,Ash Fork CDP,74.8
AZ,Avenue B and C CDP,43.7
AZ,Avondale city,18.6
AZ,Avra Valley CDP,13.3
AZ,Aztec CDP,0
AZ,Bagdad CDP,3.6
AZ,Bear Flat CDP,0
AZ,Beaver Dam CDP,29.2
AZ,Beaver Valley CDP,0
AZ,Benson city,22.1
AZ,Beyerville CDP,45.1
AZ,Bisbee city,29.1
AZ,Bitter Springs CDP,49.4
AZ,Black Canyon City CDP,14.7
AZ,Blackwater CDP,61
AZ,Bluewater CDP,12.1
AZ,Bouse CDP,8
AZ,Bowie CDP,21.6
AZ,Brenda CDP,11
AZ,Bryce CDP,15.3
AZ,Buckeye town,14.8
AZ,Buckshot CDP,0
AZ,Bullhead City city,19.7
AZ,Burnside CDP,45.3
AZ,Bylas CDP,56.9
AZ,Cactus Flats CDP,26.6
AZ,Cactus Forest CDP,8
AZ,Cameron CDP,38.2
AZ,Campo Bonito CDP,0
AZ,Camp Verde town,25.4
AZ,Cane Beds CDP,16.9
AZ,Canyon Day CDP,43.8
